s,0,-0.1,0.73,
j,0.789103,-0.514399,0.214901,2.01356,
j,0.790327,-0.514397,0.214571,2.01338,
j,0.791548,-0.514407,0.214263,2.01322,
j,0.792767,-0.514423,0.213974,2.01308,
j,0.793983,-0.514443,0.213704,2.01296,
j,0.795197,-0.514463,0.213451,2.01286,
j,0.796409,-0.51448,0.213214,2.01277,
j,0.797619,-0.514491,0.212991,2.01269,
j,0.798827,-0.514495,0.212782,2.01262,
j,0.800034,-0.51449,0.212585,2.01256,
j,0.801239,-0.514475,0.2124,2.0125,
j,0.802444,-0.51445,0.212225,2.01245,
j,0.803647,-0.514414,0.212061,2.01241,
j,0.804849,-0.514366,0.211907,2.01237,
j,0.80605,-0.514307,0.211761,2.01233,
j,0.80725,-0.514238,0.211624,2.0123,
j,0.80845,-0.514158,0.211494,2.01227,
j,0.809649,-0.514069,0.211371,2.01224,
j,0.810847,-0.513971,0.211256,2.01222,
j,0.812045,-0.513866,0.211146,2.0122,
j,0.813242,-0.513754,0.211041,2.01217,
j,0.814438,-0.513637,0.210942,2.01216,
j,0.815635,-0.513516,0.210848,2.01214,
j,0.81683,-0.513391,0.210757,2.01212,
j,0.818025,-0.513265,0.210671,2.01211,
j,0.819219,-0.513137,0.210588,2.0121,
j,0.820413,-0.513008,0.210508,2.01209,
j,0.821606,-0.51288,0.21043,2.01208,
j,0.822799,-0.512752,0.210355,2.01207,
j,0.82399,-0.512626,0.210282,2.01206,
j,0.825181,-0.512501,0.21021,2.01206,
j,0.826372,-0.512378,0.210141,2.01205,
j,0.827561,-0.512258,0.210072,2.01205,
j,0.82875,-0.51214,0.210005,2.01205,
j,0.829938,-0.512025,0.209938,2.01205,
j,0.831125,-0.511912,0.209873,2.01205,
j,0.832311,-0.511801,0.209808,2.01204,
j,0.833497,-0.511693,0.209743,2.01204,
j,0.834681,-0.511586,0.209679,2.01204,
j,0.835865,-0.511482,0.209616,2.01204,
j,0.837048,-0.511379,0.209552,2.01204,
j,0.83823,-0.511278,0.209489,2.01204,
j,0.839411,-0.511177,0.209426,2.01204,
j,0.840591,-0.511078,0.209363,2.01204,
j,0.841771,-0.51098,0.2093,2.01204,
j,0.842949,-0.510882,0.209237,2.01204,
j,0.844127,-0.510784,0.209175,2.01204,
j,0.845304,-0.510687,0.209112,2.01204,
j,0.84648,-0.51059,0.209049,2.01204,
j,0.847655,-0.510492,0.208987,2.01204,
j,0.84883,-0.510395,0.208924,2.01204,
j,0.850003,-0.510297,0.208861,2.01204,
j,0.851176,-0.510199,0.208799,2.01204,
j,0.852348,-0.5101,0.208736,2.01204,
j,0.853519,-0.510001,0.208673,2.01204,
j,0.85469,-0.509902,0.208611,2.01204,
j,0.855859,-0.509802,0.208548,2.01204,
j,0.857028,-0.509702,0.208485,2.01204,
j,0.858196,-0.509601,0.208422,2.01204,
j,0.859363,-0.5095,0.208359,2.01204,
j,0.86053,-0.509399,0.208296,2.01204,
j,0.861696,-0.509298,0.208233,2.01204,
j,0.862861,-0.509196,0.208169,2.01204,
j,0.864025,-0.509094,0.208106,2.01204,
j,0.865188,-0.508993,0.208043,2.01204,
j,0.866351,-0.508891,0.207979,2.01204,
j,0.867513,-0.508789,0.207915,2.01204,
j,0.868674,-0.508687,0.207851,2.01204,
j,0.869834,-0.508586,0.207787,2.01204,
j,0.870994,-0.508484,0.207723,2.01205,
j,0.872152,-0.508383,0.207659,2.01205,
j,0.87331,-0.508282,0.207594,2.01205,
j,0.874467,-0.508181,0.207529,2.01205,
j,0.875624,-0.50808,0.207464,2.01205,
j,0.876779,-0.50798,0.207399,2.01205,
j,0.877934,-0.50788,0.207334,2.01205,
j,0.879088,-0.50778,0.207268,2.01205,
j,0.880241,-0.50768,0.207202,2.01205,
j,0.881393,-0.50758,0.207136,2.01205,
j,0.882545,-0.507481,0.20707,2.01205,
j,0.883696,-0.507382,0.207004,2.01205,
j,0.884846,-0.507283,0.206937,2.01205,
j,0.885995,-0.507185,0.20687,2.01205,
j,0.887143,-0.507086,0.206803,2.01205,
j,0.888291,-0.506988,0.206735,2.01205,
j,0.889437,-0.50689,0.206668,2.01205,
j,0.890583,-0.506792,0.2066,2.01206,
j,0.891728,-0.506694,0.206532,2.01206,
j,0.892873,-0.506597,0.206464,2.01206,
j,0.894016,-0.506499,0.206395,2.01206,
j,0.895159,-0.506402,0.206326,2.01206,
j,0.896301,-0.506305,0.206258,2.01207,
j,0.897442,-0.506208,0.206188,2.01207,
j,0.898582,-0.506111,0.206119,2.01207,
j,0.899721,-0.506014,0.206049,2.01207,
j,0.90086,-0.505917,0.20598,2.01208,
j,0.901998,-0.505821,0.205909,2.01208,
j,0.903135,-0.505724,0.205839,2.01208,
j,0.904271,-0.505628,0.205769,2.01208,
j,0.905407,-0.505531,0.205698,2.01209,
j,0.906541,-0.505435,0.205627,2.01209,
j,0.907675,-0.505339,0.205556,2.01209,
j,0.908808,-0.505243,0.205485,2.01209,
j,0.90994,-0.505147,0.205413,2.0121,
j,0.911072,-0.505051,0.205342,2.0121,
j,0.912202,-0.504956,0.20527,2.0121,
j,0.913332,-0.50486,0.205197,2.01211,
j,0.914461,-0.504765,0.205125,2.01211,
j,0.915589,-0.504669,0.205053,2.01211,
j,0.916717,-0.504574,0.20498,2.01211,
j,0.917843,-0.504479,0.204907,2.01212,
j,0.918969,-0.504384,0.204834,2.01212,
j,0.920094,-0.504289,0.20476,2.01212,
j,0.921218,-0.504195,0.204687,2.01213,
j,0.922341,-0.5041,0.204613,2.01213,
j,0.923464,-0.504006,0.204539,2.01213,
j,0.924585,-0.503911,0.204465,2.01213,
j,0.925706,-0.503817,0.20439,2.01214,
j,0.926826,-0.503723,0.204316,2.01214,
j,0.927945,-0.503629,0.204241,2.01214,
j,0.929064,-0.503535,0.204166,2.01215,
j,0.930181,-0.503442,0.204091,2.01215,
j,0.931298,-0.503348,0.204015,2.01215,
j,0.932414,-0.503255,0.20394,2.01215,
j,0.933529,-0.503162,0.203864,2.01216,
j,0.934644,-0.503068,0.203788,2.01216,
j,0.935757,-0.502975,0.203712,2.01216,
j,0.93687,-0.502883,0.203635,2.01217,
j,0.937982,-0.50279,0.203559,2.01217,
j,0.939093,-0.502697,0.203482,2.01217,
j,0.940203,-0.502605,0.203405,2.01217,
j,0.941313,-0.502512,0.203328,2.01218,
j,0.942421,-0.50242,0.20325,2.01218,
j,0.943529,-0.502328,0.203173,2.01218,
j,0.944636,-0.502236,0.203095,2.01219,
j,0.945742,-0.502144,0.203017,2.01219,
j,0.946848,-0.502052,0.202939,2.01219,
j,0.947952,-0.501961,0.20286,2.01219,
j,0.949056,-0.501869,0.202782,2.0122,
j,0.950159,-0.501778,0.202703,2.0122,
j,0.951261,-0.501687,0.202624,2.0122,
j,0.952362,-0.501596,0.202545,2.01221,
j,0.953463,-0.501505,0.202466,2.01221,
j,0.954562,-0.501414,0.202387,2.01221,
j,0.955661,-0.501323,0.202307,2.01221,
j,0.956759,-0.501232,0.202227,2.01222,
j,0.957856,-0.501142,0.202147,2.01222,
j,0.958952,-0.501052,0.202067,2.01222,
j,0.960048,-0.500961,0.201986,2.01223,
j,0.961143,-0.500871,0.201906,2.01223,
j,0.962237,-0.500781,0.201825,2.01223,
j,0.96333,-0.500691,0.201744,2.01223,
j,0.964422,-0.500602,0.201663,2.01224,
j,0.965513,-0.500512,0.201582,2.01224,
j,0.966604,-0.500423,0.2015,2.01224,
j,0.967694,-0.500333,0.201419,2.01225,
j,0.968783,-0.500244,0.201337,2.01225,
j,0.969871,-0.500155,0.201255,2.01225,
j,0.970958,-0.500066,0.201173,2.01225,
j,0.972045,-0.499977,0.201091,2.01226,
j,0.97313,-0.499888,0.201008,2.01226,
j,0.974215,-0.4998,0.200925,2.01226,
j,0.975299,-0.499711,0.200843,2.01227,
j,0.976382,-0.499623,0.20076,2.01227,
j,0.977465,-0.499534,0.200676,2.01227,
j,0.978546,-0.499446,0.200593,2.01227,
j,0.979622,-0.499345,0.200375,2.01229,
j,0.98068,-0.499196,0.199763,2.01252,
j,0.981707,-0.498958,0.19859,2.01317,
j,0.982706,-0.498617,0.197068,2.01413,
j,0.983685,-0.498185,0.195465,2.01516,
j,0.984653,-0.49768,0.193905,2.01619,
j,0.985614,-0.497123,0.192438,2.01714,
j,0.986572,-0.496534,0.191082,2.01802,
j,0.987529,-0.495932,0.189839,2.0188,
j,0.988486,-0.495333,0.188703,2.01951,
j,0.989442,-0.494753,0.187668,2.02014,
j,0.990398,-0.494205,0.186723,2.0207,
j,0.991354,-0.493696,0.18586,2.0212,
j,0.992309,-0.493236,0.185071,2.02165,
j,0.993264,-0.492828,0.184348,2.02205,
j,0.994216,-0.492475,0.183683,2.02242,
j,0.995168,-0.49218,0.18307,2.02275,
j,0.996117,-0.49194,0.182504,2.02305,
j,0.997064,-0.491754,0.18198,2.02332,
j,0.998009,-0.491618,0.181493,2.02357,
j,0.998952,-0.491528,0.181039,2.0238,
j,0.999892,-0.49148,0.180615,2.02401,
j,1.00083,-0.491467,0.180218,2.0242,
j,1.00176,-0.49147,0.179709,2.02438,
j,1.00268,-0.491473,0.179085,2.02456,
j,1.00359,-0.491474,0.178434,2.02472,
j,1.0045,-0.491472,0.177798,2.02487,
j,1.0054,-0.491468,0.177192,2.025,
j,1.0063,-0.491459,0.176623,2.02512,
j,1.0072,-0.491446,0.176093,2.02523,
j,1.0081,-0.491429,0.1756,2.02533,
j,1.00899,-0.491408,0.175142,2.02541,
j,1.00989,-0.491383,0.174716,2.02549,
j,1.01078,-0.491353,0.17432,2.02555,
j,1.01167,-0.49132,0.17395,2.02561,
j,1.01256,-0.491283,0.173606,2.02567,
j,1.01346,-0.491243,0.173284,2.02571,
j,1.01434,-0.491199,0.172983,2.02576,
j,1.01523,-0.491153,0.172701,2.02579,
j,1.01612,-0.491104,0.172436,2.02582,
j,1.01701,-0.491052,0.172187,2.02585,
j,1.0179,-0.490999,0.171952,2.02588,
j,1.01878,-0.490944,0.17173,2.0259,
j,1.01967,-0.490888,0.17152,2.02592,
j,1.02055,-0.490831,0.171321,2.02594,
j,1.02144,-0.490772,0.171131,2.02596,
j,1.02232,-0.490713,0.17095,2.02597,
j,1.0232,-0.490654,0.170778,2.02598,
j,1.02408,-0.490595,0.170613,2.026,
j,1.02496,-0.490535,0.170455,2.02601,
j,1.02584,-0.490475,0.170302,2.02602,
j,1.02672,-0.490416,0.170156,2.02603,
j,1.0276,-0.490357,0.170014,2.02603,
j,1.02848,-0.490298,0.169877,2.02604,
j,1.02936,-0.490239,0.169744,2.02605,
j,1.03023,-0.490181,0.169614,2.02605,
j,1.03111,-0.490123,0.169488,2.02606,
j,1.03199,-0.490065,0.169366,2.02607,
j,1.03286,-0.490008,0.169246,2.02607,
j,1.03373,-0.489951,0.169128,2.02608,
j,1.03461,-0.489895,0.169013,2.02608,
j,1.03548,-0.489838,0.1689,2.02608,
j,1.03635,-0.489782,0.168789,2.02609,
j,1.03722,-0.489726,0.16868,2.02609,
j,1.03809,-0.48967,0.168572,2.0261,
j,1.03896,-0.489615,0.168466,2.0261,
j,1.03983,-0.489559,0.16836,2.0261,
j,1.0407,-0.489504,0.168257,2.02611,
j,1.04157,-0.489448,0.168154,2.02611,
j,1.04243,-0.489393,0.168052,2.02611,
j,1.0433,-0.489337,0.167951,2.02611,
j,1.04417,-0.489281,0.167851,2.02612,
j,1.04503,-0.489226,0.167751,2.02612,
j,1.0459,-0.48917,0.167653,2.02612,
j,1.04676,-0.489114,0.167554,2.02612,
j,1.04762,-0.489058,0.167457,2.02613,
j,1.04848,-0.489002,0.16736,2.02613,
j,1.04935,-0.488947,0.167263,2.02613,
j,1.05021,-0.488891,0.167167,2.02613,
j,1.05107,-0.488834,0.167071,2.02613,
j,1.05193,-0.488778,0.166975,2.02614,
j,1.05279,-0.488722,0.16688,2.02614,
j,1.05364,-0.488666,0.166785,2.02614,
j,1.0545,-0.48861,0.16669,2.02614,
j,1.05536,-0.488554,0.166595,2.02614,
j,1.05621,-0.488498,0.166501,2.02615,
j,1.05707,-0.488442,0.166407,2.02615,
j,1.05792,-0.488386,0.166313,2.02615,
j,1.05878,-0.48833,0.166219,2.02615,
j,1.05963,-0.488275,0.166125,2.02615,
j,1.06048,-0.488219,0.166031,2.02615,
j,1.06134,-0.488163,0.165938,2.02616,
j,1.06219,-0.488108,0.165844,2.02616,
j,1.06304,-0.488052,0.165751,2.02616,
j,1.06389,-0.487997,0.165657,2.02616,
j,1.06474,-0.487942,0.165564,2.02616,
j,1.06559,-0.487887,0.165471,2.02616,
j,1.06644,-0.487832,0.165377,2.02617,
j,1.06728,-0.487777,0.165284,2.02617,
j,1.06813,-0.487722,0.165191,2.02617,
j,1.06898,-0.487667,0.165098,2.02617,
j,1.06982,-0.487613,0.165005,2.02617,
j,1.07067,-0.487558,0.164911,2.02617,
j,1.07151,-0.487504,0.164818,2.02618,
j,1.07235,-0.487449,0.164725,2.02618,
j,1.0732,-0.487395,0.164632,2.02618,
j,1.07404,-0.487341,0.164538,2.02618,
