s,0.21,0,0.73,
j,0.454103,-0.253145,-0.263819,1.89329,
j,0.453731,-0.253127,-0.263602,1.89329,
j,0.45336,-0.253109,-0.263386,1.8933,
j,0.452988,-0.253091,-0.26317,1.8933,
j,0.452617,-0.253072,-0.262953,1.8933,
j,0.452247,-0.253054,-0.262738,1.89331,
j,0.451877,-0.253036,-0.262522,1.89331,
j,0.451507,-0.253018,-0.262306,1.89332,
j,0.451137,-0.253,-0.262091,1.89332,
j,0.450768,-0.252982,-0.261876,1.89332,
j,0.4504,-0.252965,-0.261661,1.89333,
j,0.450031,-0.252947,-0.261446,1.89333,
j,0.449663,-0.252929,-0.261232,1.89333,
j,0.449296,-0.252911,-0.261018,1.89334,
j,0.448929,-0.252893,-0.260804,1.89334,
j,0.448562,-0.252876,-0.26059,1.89334,
j,0.448195,-0.252858,-0.260376,1.89335,
j,0.447829,-0.25284,-0.260163,1.89335,
j,0.447464,-0.252823,-0.259949,1.89335,
j,0.447098,-0.252805,-0.259736,1.89336,
j,0.446733,-0.252788,-0.259523,1.89336,
j,0.446369,-0.25277,-0.259311,1.89336,
j,0.446005,-0.252753,-0.259098,1.89337,
j,0.445641,-0.252735,-0.258886,1.89337,
j,0.445277,-0.252718,-0.258674,1.89337,
j,0.444914,-0.2527,-0.258462,1.89337,
j,0.444551,-0.252683,-0.25825,1.89338,
j,0.444189,-0.252666,-0.258039,1.89338,
j,0.443827,-0.252648,-0.257827,1.89338,
j,0.443465,-0.252631,-0.257616,1.89339,
j,0.443104,-0.252614,-0.257405,1.89339,
j,0.442743,-0.252597,-0.257195,1.89339,
j,0.442383,-0.252579,-0.256984,1.8934,
j,0.442022,-0.252562,-0.256774,1.8934,
j,0.441663,-0.252545,-0.256564,1.8934,
j,0.441303,-0.252528,-0.256354,1.89341,
j,0.440944,-0.252511,-0.256144,1.89341,
j,0.440585,-0.252494,-0.255934,1.89341,
j,0.440227,-0.252477,-0.255725,1.89342,
j,0.439869,-0.25246,-0.255516,1.89342,
j,0.439511,-0.252443,-0.255307,1.89342,
j,0.439154,-0.252426,-0.255098,1.89343,
j,0.438797,-0.25241,-0.25489,1.89343,
j,0.43844,-0.252393,-0.254681,1.89343,
j,0.438084,-0.252376,-0.254473,1.89344,
j,0.437728,-0.252359,-0.254265,1.89344,
j,0.437373,-0.252343,-0.254057,1.89344,
j,0.437017,-0.252326,-0.25385,1.89345,
j,0.436663,-0.252309,-0.253642,1.89345,
j,0.436308,-0.252293,-0.253435,1.89345,
j,0.435954,-0.252276,-0.253228,1.89345,
j,0.4356,-0.252259,-0.253021,1.89346,
j,0.435247,-0.252243,-0.252814,1.89346,
j,0.434894,-0.252226,-0.252608,1.89346,
j,0.434541,-0.25221,-0.252402,1.89347,
j,0.434189,-0.252193,-0.252196,1.89347,
j,0.433837,-0.252177,-0.25199,1.89347,
j,0.433485,-0.252161,-0.251784,1.89348,
j,0.433134,-0.252144,-0.251578,1.89348,
j,0.432783,-0.252128,-0.251373,1.89348,
j,0.432432,-0.252112,-0.251168,1.89349,
j,0.432082,-0.252096,-0.250963,1.89349,
j,0.431732,-0.252079,-0.250758,1.89349,
j,0.431383,-0.252063,-0.250554,1.89349,
j,0.431033,-0.252047,-0.250349,1.8935,
j,0.430685,-0.252031,-0.250145,1.8935,
j,0.430336,-0.252015,-0.249941,1.8935,
j,0.429988,-0.251999,-0.249737,1.89351,
j,0.42964,-0.251983,-0.249534,1.89351,
j,0.429293,-0.251967,-0.24933,1.89351,
j,0.428946,-0.251951,-0.249127,1.89352,
j,0.428599,-0.251935,-0.248924,1.89352,
j,0.428252,-0.251919,-0.248721,1.89352,
j,0.427906,-0.251903,-0.248519,1.89352,
