s,-0.1,-0.1,0.7,
j,0.793775,-0.452367,0.567865,1.62426,
j,0.796548,-0.451891,0.566049,1.62976,
j,0.799316,-0.451385,0.564026,1.63501,
j,0.802075,-0.450862,0.561841,1.64,
j,0.804827,-0.45034,0.559524,1.64479,
j,0.807567,-0.449832,0.557088,1.64937,
j,0.810296,-0.449354,0.55444,1.65385,
j,0.81301,-0.448922,0.551493,1.65835,
j,0.815703,-0.448545,0.548223,1.66295,
j,0.818368,-0.448219,0.544614,1.66756,
j,0.821001,-0.447945,0.540784,1.67214,
j,0.823601,-0.447722,0.536748,1.67664,
j,0.82617,-0.44755,0.532674,1.68107,
j,0.82871,-0.447431,0.528653,1.68537,
j,0.831223,-0.447361,0.524752,1.68943,
j,0.833714,-0.447345,0.521077,1.69334,
j,0.836188,-0.447384,0.517655,1.69708,
j,0.838645,-0.447474,0.514476,1.70059,
j,0.841085,-0.447611,0.511522,1.70385,
j,0.84351,-0.447788,0.508775,1.70684,
j,0.84592,-0.448,0.506217,1.7096,
j,0.848316,-0.448239,0.503831,1.71212,
j,0.850699,-0.448496,0.501604,1.71443,
j,0.853068,-0.448763,0.499523,1.71654,
j,0.855426,-0.449041,0.497488,1.71863,
j,0.857782,-0.449339,0.495644,1.72109,
j,0.860137,-0.449657,0.494067,1.72399,
j,0.862496,-0.449993,0.492934,1.7274,
j,0.864875,-0.45036,0.492582,1.73158,
j,0.867277,-0.450763,0.492845,1.73649,
j,0.869693,-0.451184,0.493493,1.7418,
j,0.872121,-0.451608,0.494476,1.74735,
j,0.874559,-0.45202,0.495751,1.75302,
j,0.877002,-0.452401,0.497149,1.75853,
j,0.879449,-0.452734,0.498637,1.7638,
j,0.881898,-0.453009,0.50015,1.76876,
j,0.884348,-0.453213,0.501582,1.77332,
j,0.8868,-0.453343,0.502909,1.77757,
j,0.889252,-0.453395,0.504122,1.78154,
j,0.891703,-0.453364,0.505214,1.78517,
j,0.894154,-0.453246,0.506188,1.78845,
j,0.896603,-0.453044,0.507053,1.79137,
j,0.899053,-0.452759,0.50782,1.79397,
j,0.901504,-0.452399,0.5085,1.79626,
j,0.903957,-0.451968,0.509104,1.79829,
j,0.906411,-0.451475,0.509639,1.80008,
j,0.908866,-0.450928,0.510114,1.80165,
j,0.911324,-0.450334,0.510535,1.80302,
j,0.913782,-0.449702,0.510909,1.80423,
j,0.916242,-0.449041,0.51124,1.80529,
j,0.918702,-0.448358,0.511531,1.80622,
j,0.921163,-0.44767,0.511698,1.80719,
j,0.923621,-0.446985,0.511639,1.80825,
j,0.92607,-0.446308,0.511305,1.80934,
j,0.928505,-0.445638,0.510793,1.81041,
j,0.930929,-0.444976,0.510219,1.8114,
j,0.933343,-0.444325,0.509635,1.81231,
j,0.935749,-0.443691,0.509065,1.81313,
j,0.938149,-0.443081,0.508408,1.8139,
j,0.940541,-0.442504,0.507685,1.81475,
j,0.942924,-0.441963,0.506859,1.81571,
j,0.945295,-0.441455,0.505947,1.8167,
j,0.947652,-0.440977,0.505025,1.81765,
j,0.949998,-0.440531,0.504018,1.81857,
j,0.952332,-0.44012,0.502958,1.81958,
j,0.954655,-0.439742,0.501919,1.82067,
j,0.956967,-0.439395,0.500815,1.82178,
j,0.959263,-0.43908,0.49954,1.82289,
j,0.961542,-0.438791,0.498166,1.82396,
j,0.963805,-0.438527,0.496686,1.82499,
j,0.966051,-0.438282,0.495143,1.82597,
j,0.968281,-0.438054,0.493625,1.82688,
j,0.9705,-0.437839,0.492171,1.82772,
j,0.97271,-0.437644,0.490703,1.82865,
j,0.974908,-0.437472,0.489118,1.8297,
j,0.97709,-0.43732,0.487362,1.83081,
j,0.979255,-0.437189,0.485438,1.83206,
j,0.9814,-0.437076,0.483348,1.83345,
j,0.983526,-0.436982,0.481108,1.83501,
