s,0.1,-0.2,0.7,
j,0.69131,-0.193427,0.248452,1.65059,
j,0.691596,-0.193794,0.248713,1.65099,
j,0.691869,-0.194212,0.248909,1.6514,
j,0.692131,-0.194662,0.249048,1.65181,
j,0.692384,-0.195126,0.249138,1.65221,
j,0.692628,-0.195587,0.249187,1.6526,
j,0.692866,-0.196033,0.249202,1.65297,
j,0.693097,-0.196452,0.249194,1.65333,
j,0.693323,-0.196837,0.249165,1.65366,
j,0.693545,-0.197182,0.249117,1.65397,
j,0.693765,-0.197482,0.249055,1.65425,
j,0.693984,-0.197788,0.248905,1.65477,
j,0.694197,-0.198123,0.248671,1.65557,
j,0.694402,-0.198511,0.24832,1.65648,
j,0.694597,-0.199018,0.247796,1.65772,
j,0.694777,-0.199643,0.247161,1.65924,
j,0.694945,-0.200401,0.246423,1.66138,
j,0.695101,-0.201282,0.24562,1.66406,
j,0.695249,-0.202327,0.244654,1.66719,
j,0.695381,-0.203552,0.243554,1.67085,
j,0.695498,-0.204894,0.242439,1.67503,
j,0.695608,-0.206243,0.241441,1.6794,
j,0.695721,-0.207524,0.240577,1.68364,
j,0.695843,-0.208714,0.239802,1.68758,
j,0.695973,-0.209752,0.239176,1.69116,
j,0.696118,-0.210606,0.238689,1.69433,
j,0.696278,-0.211246,0.238373,1.69735,
j,0.696457,-0.21161,0.238286,1.7002,
j,0.69666,-0.211697,0.238355,1.70276,
j,0.696883,-0.211504,0.23858,1.70495,
j,0.697127,-0.211004,0.239004,1.70675,
j,0.697393,-0.210227,0.239555,1.70816,
j,0.697679,-0.209196,0.24023,1.70922,
j,0.697984,-0.207947,0.240988,1.70996,
j,0.698304,-0.206551,0.241756,1.71043,
j,0.698633,-0.205072,0.242501,1.71069,
j,0.698966,-0.203566,0.243206,1.71079,
j,0.6993,-0.202081,0.243861,1.71076,
j,0.699632,-0.200657,0.244464,1.71064,
j,0.69996,-0.199324,0.245013,1.71046,
j,0.700283,-0.198108,0.245506,1.71024,
j,0.700599,-0.197024,0.245945,1.71001,
j,0.700909,-0.196085,0.24633,1.70978,
j,0.70121,-0.195294,0.246663,1.70955,
j,0.701504,-0.194651,0.246944,1.70936,
j,0.701788,-0.194106,0.247258,1.70916,
j,0.702072,-0.193675,0.247534,1.70922,
j,0.70235,-0.193384,0.247727,1.70959,
j,0.702619,-0.193217,0.247868,1.71034,
j,0.702879,-0.193155,0.247972,1.71141,
j,0.703131,-0.193176,0.248042,1.71258,
j,0.703376,-0.193265,0.248081,1.71375,
j,0.703615,-0.193408,0.24809,1.71486,
j,0.703848,-0.193599,0.248085,1.71614,
j,0.704076,-0.193822,0.248068,1.71759,
j,0.7043,-0.194108,0.247954,1.71909,
j,0.704515,-0.194473,0.247742,1.72057,
j,0.704721,-0.194986,0.247322,1.72205,
j,0.704905,-0.195674,0.246698,1.72304,
j,0.705069,-0.196632,0.24573,1.72333,
j,0.7052,-0.197953,0.244383,1.72305,
j,0.705292,-0.199676,0.242664,1.72204,
j,0.705344,-0.201773,0.240707,1.72058,
j,0.705364,-0.204181,0.238606,1.71887,
j,0.705363,-0.206867,0.236354,1.71689,
j,0.705343,-0.209754,0.234046,1.71486,
j,0.705311,-0.212728,0.231781,1.71278,
j,0.705276,-0.215734,0.229517,1.71048,
j,0.705239,-0.218713,0.227272,1.70792,
j,0.705203,-0.221588,0.225116,1.70527,
j,0.705175,-0.224291,0.223078,1.70254,
j,0.705156,-0.226763,0.221168,1.69956,
j,0.705151,-0.228964,0.219388,1.69625,
j,0.705159,-0.230875,0.217744,1.69283,
j,0.705182,-0.232434,0.21632,1.68928,
j,0.705228,-0.233613,0.215116,1.68569,
j,0.705299,-0.234438,0.21408,1.68225,
j,0.705394,-0.234932,0.213183,1.67905,
j,0.705509,-0.235082,0.212492,1.67608,
j,0.705648,-0.234896,0.211996,1.67333,
j,0.705812,-0.234423,0.211628,1.67078,
j,0.705996,-0.233671,0.211438,1.66839,
j,0.706202,-0.232619,0.211487,1.66611,
j,0.706436,-0.231303,0.211709,1.66391,
j,0.706693,-0.229799,0.212016,1.66181,
j,0.706967,-0.228129,0.212446,1.65976,
j,0.70726,-0.22629,0.213068,1.658,
j,0.707574,-0.224323,0.213817,1.65654,
j,0.707905,-0.222295,0.214601,1.65523,
j,0.708247,-0.220231,0.215463,1.65421,
j,0.7086,-0.218112,0.216467,1.65345,
j,0.708967,-0.215963,0.217545,1.65278,
j,0.709344,-0.213811,0.2187,1.65233,
j,0.709731,-0.211678,0.219895,1.6521,
j,0.710125,-0.209617,0.221054,1.65193,
j,0.710518,-0.207672,0.222141,1.65175,
j,0.710906,-0.205879,0.223141,1.65155,
j,0.711285,-0.204221,0.224128,1.65129,
j,0.711659,-0.202689,0.225105,1.65098,
j,0.712029,-0.201308,0.226022,1.65065,
j,0.712392,-0.200095,0.226858,1.65031,
j,0.712744,-0.199059,0.227605,1.64999,
j,0.713085,-0.198201,0.228264,1.64969,
j,0.713414,-0.197518,0.228837,1.64943,
j,0.713729,-0.197002,0.229329,1.64921,
j,0.714033,-0.196602,0.229831,1.64926,
j,0.714331,-0.196275,0.230354,1.64959,
j,0.714625,-0.196012,0.230849,1.65002,
j,0.714914,-0.19581,0.231295,1.65049,
j,0.715197,-0.195662,0.231686,1.65095,
j,0.715471,-0.195565,0.232022,1.65139,
j,0.715738,-0.195513,0.232303,1.6518,
j,0.715997,-0.195507,0.232541,1.65243,
j,0.71625,-0.195493,0.232821,1.65326,
j,0.716503,-0.195434,0.233148,1.65412,
j,0.716757,-0.195289,0.23355,1.65491,
j,0.717016,-0.195042,0.234012,1.65558,
j,0.717281,-0.194717,0.234473,1.65613,
j,0.717548,-0.194335,0.234909,1.65658,
j,0.717814,-0.193871,0.235388,1.65689,
j,0.718084,-0.193323,0.235914,1.65733,
j,0.718359,-0.192718,0.236441,1.65793,
j,0.718636,-0.192077,0.236943,1.65854,
j,0.718911,-0.191421,0.237406,1.6591,
