s,-0.21,0,0.73,
j,1.95505,-0.440128,0.685995,1.95583,
j,1.95852,-0.439156,0.685954,1.95588,
j,1.96198,-0.438192,0.685901,1.95593,
j,1.96543,-0.437235,0.685836,1.95599,
j,1.96886,-0.436286,0.68576,1.95604,
j,1.97228,-0.435344,0.685673,1.95609,
j,1.97568,-0.434409,0.685575,1.95614,
j,1.97907,-0.433482,0.685466,1.95619,
j,1.98244,-0.432562,0.685347,1.95625,
j,1.9858,-0.43165,0.685217,1.9563,
j,1.98914,-0.430745,0.685077,1.95635,
j,1.99247,-0.429847,0.684926,1.9564,
j,1.99579,-0.428956,0.684766,1.95646,
j,1.99909,-0.428073,0.684596,1.95651,
j,2.00237,-0.427197,0.684416,1.95656,
j,2.00565,-0.426328,0.684227,1.95662,
j,2.00891,-0.425466,0.684029,1.95667,
j,2.01215,-0.424611,0.683821,1.95672,
j,2.01538,-0.423764,0.683605,1.95677,
j,2.0186,-0.422923,0.683379,1.95683,
j,2.0218,-0.422089,0.683145,1.95688,
j,2.02499,-0.421262,0.682902,1.95693,
j,2.02817,-0.420442,0.682651,1.95699,
j,2.03133,-0.419629,0.682392,1.95704,
j,2.03448,-0.418822,0.682124,1.95709,
j,2.03761,-0.418022,0.681848,1.95715,
j,2.04073,-0.417228,0.681565,1.9572,
j,2.04384,-0.416441,0.681273,1.95725,
j,2.04694,-0.415661,0.680974,1.9573,
j,2.05002,-0.414886,0.680668,1.95736,
j,2.05309,-0.414118,0.680354,1.95741,
j,2.05614,-0.413356,0.680034,1.95746,
j,2.05919,-0.412601,0.679706,1.95752,
j,2.06222,-0.411851,0.679371,1.95757,
j,2.06523,-0.411107,0.679029,1.95762,
j,2.06824,-0.41037,0.678681,1.95768,
j,2.07123,-0.409638,0.678326,1.95773,
j,2.07421,-0.408912,0.677965,1.95778,
j,2.07717,-0.408191,0.677598,1.95783,
j,2.08013,-0.407477,0.677224,1.95789,
j,2.08307,-0.406768,0.676844,1.95794,
j,2.086,-0.406064,0.676459,1.95799,
j,2.08892,-0.405366,0.676067,1.95804,
j,2.09182,-0.404673,0.67567,1.9581,
j,2.09471,-0.403986,0.675268,1.95815,
j,2.09759,-0.403304,0.674859,1.9582,
j,2.10046,-0.402627,0.674446,1.95825,
j,2.10332,-0.401956,0.674027,1.95831,
j,2.10616,-0.401289,0.673603,1.95836,
j,2.109,-0.400628,0.673174,1.95841,
j,2.11182,-0.399972,0.67274,1.95846,
j,2.11463,-0.39932,0.672302,1.95851,
j,2.11742,-0.398674,0.671858,1.95856,
j,2.12021,-0.398033,0.67141,1.95862,
j,2.12299,-0.397396,0.670957,1.95867,
j,2.12575,-0.396765,0.6705,1.95872,
j,2.1285,-0.396138,0.670039,1.95877,
j,2.13124,-0.395515,0.669573,1.95882,
j,2.13397,-0.394898,0.669103,1.95887,
j,2.13669,-0.394285,0.668629,1.95892,
j,2.1394,-0.393676,0.668151,1.95897,
j,2.1421,-0.393073,0.667669,1.95902,
j,2.14478,-0.392473,0.667183,1.95907,
j,2.14746,-0.391878,0.666693,1.95912,
j,2.15012,-0.391288,0.666199,1.95917,
j,2.15278,-0.390702,0.665702,1.95922,
j,2.15542,-0.39012,0.665202,1.95927,
j,2.15805,-0.389542,0.664698,1.95932,
j,2.16067,-0.388969,0.66419,1.95937,
j,2.16329,-0.3884,0.66368,1.95942,
j,2.16589,-0.387835,0.663166,1.95947,
j,2.16848,-0.387274,0.662648,1.95952,
j,2.17106,-0.386717,0.662128,1.95957,
j,2.17363,-0.386164,0.661605,1.95962,
j,2.17619,-0.385615,0.661079,1.95967,
j,2.17874,-0.38507,0.660549,1.95972,
j,2.18128,-0.384529,0.660017,1.95977,
j,2.18381,-0.383992,0.659483,1.95981,
j,2.18633,-0.383459,0.658945,1.95986,
j,2.18884,-0.382929,0.658405,1.95991,
j,2.19134,-0.382403,0.657862,1.95996,
j,2.19383,-0.381881,0.657317,1.96001,
j,2.19632,-0.381363,0.65677,1.96005,
j,2.19879,-0.380869,0.656028,1.95981,
j,2.20127,-0.380432,0.654863,1.95879,
j,2.20372,-0.380065,0.653321,1.9568,
j,2.20617,-0.379786,0.651408,1.95393,
j,2.2086,-0.379623,0.649065,1.95029,
j,2.211,-0.379579,0.646405,1.94594,
j,2.21338,-0.37964,0.643596,1.94109,
j,2.21574,-0.379813,0.640582,1.93584,
j,2.21807,-0.380097,0.637439,1.93049,
