s,0,0,0.7,
j,0.633076,-0.0482331,-0.00606795,0.249988,
j,0.633076,-0.0482472,-0.00606729,0.249988,
j,0.633076,-0.0482699,-0.00606663,0.249988,
j,0.633076,-0.0483009,-0.00606597,0.249988,
j,0.633076,-0.04834,-0.00606532,0.249988,
j,0.633076,-0.0483868,-0.00606466,0.249988,
j,0.633076,-0.0484411,-0.006064,0.249988,
j,0.633076,-0.0485025,-0.00606335,0.249988,
j,0.633076,-0.0485707,-0.00606269,0.249988,
j,0.633076,-0.0486451,-0.00606204,0.249988,
j,0.633076,-0.0487255,-0.00606139,0.249988,
j,0.633076,-0.0488111,-0.00606073,0.249988,
j,0.633076,-0.0489017,-0.00606008,0.249988,
j,0.633076,-0.0489967,-0.00605943,0.249988,
j,0.633076,-0.0490955,-0.00605877,0.249988,
j,0.633076,-0.0491975,-0.00605812,0.249988,
j,0.633076,-0.0493023,-0.00605747,0.249988,
j,0.633076,-0.0494092,-0.00605682,0.249988,
j,0.633076,-0.0495177,-0.00605617,0.249988,
j,0.633076,-0.0496272,-0.00605552,0.249988,
j,0.633076,-0.049737,-0.00605487,0.249988,
j,0.633076,-0.0498467,-0.00605422,0.249988,
j,0.633076,-0.0499413,-0.00605355,0.249989,
j,0.633076,-0.0500058,-0.0060529,0.24999,
j,0.633076,-0.0500361,-0.00605231,0.24999,
j,0.633076,-0.0500182,-0.00605188,0.249993,
j,0.633076,-0.0499452,-0.0060516,0.249994,
j,0.633076,-0.0498209,-0.00605144,0.249995,
j,0.633076,-0.0496463,-0.00605144,0.249996,
j,0.633076,-0.0494334,-0.00605153,0.249996,
j,0.633076,-0.0491959,-0.00605169,0.249996,
j,0.633076,-0.0489415,-0.00605194,0.249997,
j,0.633069,-0.0487115,-0.00623767,0.249995,
j,0.633043,-0.0485331,-0.00651612,0.249995,
j,0.633009,-0.0484023,-0.00680123,0.249995,
j,0.632972,-0.0483139,-0.00708158,0.249995,
j,0.632934,-0.0482623,-0.00735522,0.249995,
j,0.632897,-0.0482414,-0.00762177,0.249996,
j,0.63286,-0.0482447,-0.00788122,0.249996,
j,0.632825,-0.048262,-0.00813391,0.249997,
j,0.63279,-0.0482813,-0.00838011,0.249997,
j,0.632749,-0.0483229,-0.00881073,0.249997,
j,0.632691,-0.048395,-0.00933052,0.249998,
j,0.632625,-0.0484838,-0.00985111,0.249998,
j,0.632548,-0.0486069,-0.0105519,0.249998,
j,0.632454,-0.0487661,-0.0113357,0.249999,
j,0.632353,-0.0489405,-0.0121139,0.250012,
j,0.63225,-0.0491296,-0.0128743,0.250126,
j,0.63214,-0.0493379,-0.0138073,0.250236,
j,0.632015,-0.0495701,-0.0148168,0.250318,
j,0.631891,-0.0498219,-0.0156209,0.250611,
j,0.631784,-0.0500834,-0.0163052,0.251187,
j,0.631688,-0.0503515,-0.0169574,0.251991,
j,0.631599,-0.0506271,-0.0175896,0.252989,
j,0.631513,-0.0509218,-0.0182039,0.254227,
j,0.63143,-0.0512419,-0.0188015,0.2557,
j,0.631341,-0.0516312,-0.0195755,0.25752,
j,0.631221,-0.0521826,-0.0208176,0.259894,
j,0.631057,-0.0529347,-0.0222472,0.262882,
j,0.630875,-0.053867,-0.0236729,0.266387,
j,0.630687,-0.0549505,-0.0250685,0.270244,
j,0.630502,-0.05616,-0.0264292,0.27433,
j,0.630322,-0.0574862,-0.0277529,0.278659,
j,0.630147,-0.0589163,-0.0290391,0.283205,
j,0.629978,-0.0604327,-0.0302879,0.287909,
j,0.629809,-0.0620303,-0.0316983,0.292632,
j,0.629628,-0.0637104,-0.0331774,0.297371,
j,0.629445,-0.0654631,-0.034628,0.302196,
j,0.629264,-0.067275,-0.0360352,0.307129,
j,0.629089,-0.069143,-0.0373954,0.312253,
j,0.628914,-0.0710659,-0.038911,0.317463,
j,0.628724,-0.07305,-0.0406958,0.322612,
j,0.628514,-0.0750976,-0.0425585,0.327764,
j,0.628299,-0.0771963,-0.0443796,0.333008,
j,0.628087,-0.0793293,-0.0461388,0.338367,
j,0.627878,-0.0814894,-0.0480382,0.343738,
j,0.62766,-0.0836753,-0.0499904,0.349121,
